Generation,Winner,Fitness
0,Carnivore Wins,"[-100, 122.60000000000001, 117.2, 119.8, 35.2]"
1,Carnivore Wins,"[67.3, 17.9, 13.7, 61.9, -100]"
2,Carnivore Wins,"[-100, 15.200000000000001, 148.6, 34.3, 48.60000000000001]"
3,Carnivore Wins,"[-100, 142.60000000000002, 29.8, 147.5, 92.80000000000001]"
4,Carnivore Wins,"[-100, 14.6, 59.6, 54.2, 65.9]"
5,Carnivore Wins,"[108.10000000000001, 149.9, 120.2, 112.1, -100]"
6,Carnivore Wins,"[29.2, 30.800000000000004, 36.1, 28.900000000000002, -100]"
7,Carnivore Wins,"[75.7, -100, 144.1, 123.4, 12.7]"
8,Carnivore Wins,"[38.8, 51.4, 19.0, -100, 43.300000000000004]"
9,Carnivore Wins,"[36.5, 85.7, -100, 30.000000000000004, 46.1]"
10,Carnivore Wins,"[62.2, -100, 145.9, 115.3, 60.4]"
11,Dead,"[14.5, -100, 14.100000000000001, 14.3, 14.5]"
12,Carnivore Wins,"[96.5, 92.8, 33.3, -100, 42.4]"
13,Carnivore Wins,"[41.0, 143.7, 143.29999999999998, 97.1, -100]"
14,Carnivore Wins,"[79.8, 30.3, 45.0, 38.9, -100]"
15,Carnivore Wins,"[118.0, 144.10000000000002, 35.3, -100, 147.9]"
16,Carnivore Wins,"[132.70000000000002, -100, 145.9, 77.5, 145.9]"
17,Carnivore Wins,"[47.00000000000001, -100, 56.00000000000001, 12.7, 22.700000000000003]"
18,Carnivore Wins,"[-100, 150.3, 27.3, 58.7, 91.10000000000001]"
19,Carnivore Wins,"[66.7, 35.2, 26.2, 58.6, 87.0]"
